------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
        OLD                                                                                     |        NEW																						
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------

            SW HULLS/CORRIDORS

------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorCurveS/sbcorridorcurves.mdl                                    |    models/SmallBridge/Hulls_SW/SBhullCurveS.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorE1/sbcorridore1.mdl                                            |    models/SmallBridge/Hulls_SW/SBhullE1.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorE2/sbcorridore2.mdl                                            |    models/SmallBridge/Hulls_SW/SBhullE2.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorE3/sbcorridore3.mdl                                            |    models/SmallBridge/Hulls_SW/SBhullE3.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorE4/sbcorridore4.mdl                                            |    models/SmallBridge/Hulls_SW/SBhullE4.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorE05/sbcorridore05.mdl                                          |    models/SmallBridge/Hulls_SW/SBhullE05.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdh/sbcorridoredh.mdl                                          |    models/SmallBridge/Hulls_SW/SBhullEdh.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdh2/sbcorridoredh2.mdl                                        |    models/SmallBridge/Hulls_SW/SBhullEdh2.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdh3/sbcorridoredh3.mdl                                        |    models/SmallBridge/Hulls_SW/SBhullEdh3.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdh4/sbcorridoredh4.mdl                                        |    models/SmallBridge/Hulls_SW/SBhullEdh4.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEFlip/sbcorridoreflip.mdl                                      |    models/SmallBridge/Hulls_SW/SBhullEFlip.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEnd/sbcorridorend.mdl                                          |    models/SmallBridge/Hulls_SW/SBhullEnd.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorR/sbcorridorr.mdl                                              |    models/SmallBridge/Hulls_SW/SBhullR.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorRtri/sbcorridorrtri.mdl                                        |    models/SmallBridge/Hulls_SW/SBhullRtri.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorSlanthalfL/sbcorridorslanthalfl.mdl                            |    models/SmallBridge/Hulls_SW/SBhullSlanthalfR.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorSlanthalfR/sbcorridorslanthalfr.mdl                            |    models/SmallBridge/Hulls_SW/SBhullSlanthalfL.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorSlantL/sbcorridorslantl.mdl                                    |    models/SmallBridge/Hulls_SW/SBhullSlantR.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorSlantR/sbcorridorslantr.mdl                                    |    models/SmallBridge/Hulls_SW/SBhullSlantL.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorT/sbcorridort.mdl                                              |    models/SmallBridge/Hulls_SW/SBhullT.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorTdl/sbcorridortdl.mdl                                          |    models/SmallBridge/Hulls_SW/SBhullTdl.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorTdldw/sbcorridortdldw.mdl                                      |    models/SmallBridge/Hulls_SW/SBhullTdldw.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBtriangleE1/sbtrianglee1.mdl                                            |    models/SmallBridge/Hulls_SW/SBhulltri1.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBtriangleE2/sbtrianglee2.mdl                                            |    models/SmallBridge/Hulls_SW/SBhulltri2.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBtriangleE3/sbtrianglee3.mdl                                            |    models/SmallBridge/Hulls_SW/SBhulltri3.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorX/sbcorridorx.mdl                                              |    models/SmallBridge/Hulls_SW/SBhullX.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorXdl/sbcorridorxdl.mdl                                          |    models/SmallBridge/Hulls_SW/SBhullXdl.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorXdldw/sbcorridorxdldw.mdl                                      |    models/SmallBridge/Hulls_SW/SBhullXdldw.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------

            DW HULLS/CORRIDORS

------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdw/sbcorridoredw.mdl                                          |    models/SmallBridge/Hulls_DW/SBhulldwE1.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdw2/sbcorridoredw2.mdl                                        |    models/SmallBridge/Hulls_DW/SBhulldwE2.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdw3/sbcorridoredw3.mdl                                        |    models/SmallBridge/Hulls_DW/SBhulldwE3.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdw4/sbcorridoredw4.mdl                                        |    models/SmallBridge/Hulls_DW/SBhulldwE4.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdw05/sbcorridoredw05.mdl                                      |    models/SmallBridge/Hulls_DW/SBhulldwE05.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorFlipdw/sbcorridorflipdw.mdl                                    |    models/SmallBridge/Hulls_DW/SBhulldwEFlip.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdhdw/sbcorridoredhdw.mdl                                      |    models/SmallBridge/Hulls_DW/SBhulldwEdh.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdhdw2/sbcorridoredhdw2.mdl                                    |    models/SmallBridge/Hulls_DW/SBhulldwEdh2.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdhdw3/sbcorridoredhdw3.mdl                                    |    models/SmallBridge/Hulls_DW/SBhulldwEdh3.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEdhdw4/sbcorridoredhdw4.mdl                                    |    models/SmallBridge/Hulls_DW/SBhulldwEdh4.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEnddw/sbcorridorenddw.mdl                                      |    models/SmallBridge/Hulls_DW/SBhulldwEnd.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorEnddw2/sbcorridorenddw2.mdl                                    |    models/SmallBridge/Hulls_DW/SBhulldwEnd2.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorRdw/sbcorridorrdw.mdl                                          |    models/SmallBridge/Hulls_DW/SBhulldwR.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorTdw/sbcorridortdw.mdl                                          |    models/SmallBridge/Hulls_DW/SBhulldwT.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorTdwdl/sbcorridortdwdl.mdl                                      |    models/SmallBridge/Hulls_DW/SBhulldwTdl.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorTdwsl/sbcorridortdwsl.mdl                                      |    models/SmallBridge/Hulls_DW/SBhulldwTsl.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorXdw/sbcorridorxdw.mdl                                          |    models/SmallBridge/Hulls_DW/SBhulldwX.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBcorridorXdwdl/sbcorridorxdwdl.mdl                                      |    models/SmallBridge/Hulls_DW/SBhulldwXdl.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------

            WALKWAYS

------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBwalkwayE/sbwalkwaye.mdl                                                |    models/SmallBridge/Walkways/SBwalkwayE.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBwalkwayE2/sbwalkwaye2.mdl                                              |    models/SmallBridge/Walkways/SBwalkwayE2.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBwalkwayR/sbwalkwayr.mdl                                                |    models/SmallBridge/Walkways/SBwalkwayR.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBwalkwayT/sbwalkwayt.mdl                                                |    models/SmallBridge/Walkways/SBwalkwayT.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBwalkwayX/sbwalkwayx.mdl                                                |    models/SmallBridge/Walkways/SBwalkwayX.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------

            VEHICLES

------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBchair/sbchair.mdl                                                      |    models/SmallBridge/Vehicles/SBVPchair.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdroppod1/sbdroppod1.mdl                                                |    models/SmallBridge/Vehicles/SBVdroppod1.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------

            OTHER PARTS

------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBconsole1s/sbconsole1s.mdl                                              |    models/SmallBridge/Other/SBconsole.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBconsole1low/sbconsole1low.mdl                                          |    models/SmallBridge/Other/SBconsolelow.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBconsoletop1/sbconsoletop1.mdl                                          |    models/SmallBridge/Other/SBconsoletop.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------

            SENTS/ANIMATED PARTS

------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdooranim1/sbdooranim1.mdl                                              |    models/SmallBridge/SEnts/SBADoor1.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdooranim2/sbdooranim2.mdl                                              |    models/SmallBridge/SEnts/SBADoor2.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/sbdooranimwide.mdl                                                       |    models/SmallBridge/SEnts/SBADoorWide.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------

            PANELS/DOORS

------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdoor/sbdoor.mdl                                                        |    models/SmallBridge/Panels/SBdoor.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdoorsquare/sbdoorsquare.mdl                                            |    models/SmallBridge/Panels/SBdoorSquare.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/sbdooriris.mdl                                                           |    models/SmallBridge/Panels/SBdooriris.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdoorwide/sbdoorwide.mdl                                                |    models/SmallBridge/Panels/SBdoorWide.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelSolidg/sbpanelsolidg.mdl                                          |    models/SmallBridge/Panels/SBpanelSolid.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelSolidgdw/sbpanelsolidgdw.mdl                                      |    models/SmallBridge/Panels/SBpanelSoliddw.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelDH/sbpaneldh.mdl                                                  |    models/SmallBridge/Panels/SBpanelDH.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelDHDW/sbpaneldhdw.mdl                                              |    models/SmallBridge/Panels/SBpanelDHDW.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelDoor/sbpaneldoor.mdl                                              |    models/SmallBridge/Panels/SBpanelDoor.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelDoordw/sbpaneldoordw.mdl                                          |    models/SmallBridge/Panels/SBpanelDoordw.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelDoor2dw/sbpaneldoor2dw.mdl                                        |    models/SmallBridge/Panels/SBpanelDoordw2.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelSquareDoor/sbpanelsquaredoor.mdl                                  |    models/SmallBridge/Panels/SBpanelDoorSquare.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelSquareDoordw/sbpanelsquaredoordw.mdl                              |    models/SmallBridge/Panels/SBpanelDoorSquaredw.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/sbdooriris2.mdl                                                          |    models/SmallBridge/Panels/SBpanelDoorIris.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelwideDoor/sbpanelwidedoor.mdl                                      |    models/SmallBridge/Panels/SBpanelDoorWide.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelSquareDoordockin/sbpanelsquaredoordockin.mdl                      |    models/SmallBridge/Panels/SBpanelDockIn.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBpanelSquareDoordocko/sbpanelsquaredoordocko.mdl                        |    models/SmallBridge/Panels/SBpanelDockOut.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------

            DROP BAY HANGARS

------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay1left/sbdropbay1left.mdl                                        |    models/SmallBridge/Hangars/SBDB1L.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay1leftS/sbdropbay1lefts.mdl                                      |    models/SmallBridge/Hangars/SBDB1Ls.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay1midE/sbdropbay1mide.mdl                                        |    models/SmallBridge/Hangars/SBDB1M.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay1midD/sbdropbay1midd.mdl                                        |    models/SmallBridge/Hangars/SBDB1M1.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay1mid/sbdropbay1mid.mdl                                          |    models/SmallBridge/Hangars/SBDB1M12.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay1right/sbdropbay1right.mdl                                      |    models/SmallBridge/Hangars/SBDB1R.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay1rightS/sbdropbay1rights.mdl                                    |    models/SmallBridge/Hangars/SBDB1Rs.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay2left/sbdropbay2left.mdl                                        |    models/SmallBridge/Hangars/SBDB2L.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay2mid/sbdropbay2mid.mdl                                          |    models/SmallBridge/Hangars/SBDB2M.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay2middw/sbdropbay2middw.mdl                                      |    models/SmallBridge/Hangars/SBDB2Mdw.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay2right/sbdropbay2right.mdl                                      |    models/SmallBridge/Hangars/SBDB2R.mdl
------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------
    models/SmallBridge/SBdropbay3mid/sbdropbay3mid.mdl                                          |    models/SmallBridge/Hangars/SBDB3M.mdl
